current	subs	elec	salt	mode	solvent	PIVOH	base	eq_base	Fmol	yield SM	yield 1	yield 2
20	1	0	0	0	0	3	0	0.3	16	0	0	49
20	1	0	1	1	1	0	2	6	4.9	0	31	12
25	1	1	1	1	0	0	1	6	6	0	0	2
20	1	0	0	1	0	3	0	0.3	8	16	34	2
20	1	0	0	1	0	3	0	0.3	6	5	23	3
20	1	0	0	1	0	3	0	0.3	4	13	37	5
20	1	0	0	1	0	0.3	3	2.7	4	8	37	7
20	1	0	0	1	0	3	3	3	4	21	37	6
20	1	0	0	1	0	9	3	1	4	0	41	5
20	1	0	0	1	2	3	0	0.3	3	5	63	0.6
20	1	0	0	1	2	3	0	0.3	6	12	11	0.2
20	1	0	0	1	2	10	0	1	4	4	65	9
20	1	0	0	1	2	3	2	2.7	2	18	80	0
20	1	0	0	1	2	3	2	2.7	3.5	3	83	0.8
15	1	0	0	1	0	0.3	3	2.7	4	12	46	9
20	1	0	0	1	2	3	0	2.7	4	6	2	0
30	1	0	0	1	2	3	2	2.7	4	5	67	5
20	1	0	0	1	2	3	1	2.7	3.5	3.62	68.79	3.62
30	1	1	1	1	1	0	2	6	6	6.4	47	3.7
20	1	0	0	1	2	10	2	1	4	5	83	7
30	1	0	0	1	2	10	0	1	4	6	48	5
20.6	1	1	0	1	0	0.6	3	3.7	6.2	0	0	17
20	1	1	0	1	2	10	2	1	4	0	71	13
20	1	0	0	1	2	10	2	2	4	0	53	7
20	1	0	0	1	2	10	2	2	6	0	75	8.5
20	1	0	0	1	2	10	2	2	6	0	70	8.2
20.1	1	1	0	1	0	0.1	3	4.5	8	0	5	25.49
21.1	1	1	0	1	0	0.2	3	5	7	0	23.92	27.08
19.9	1	0	1	1	0	0.7	2	5.2	8	0	0	16.68
20.6	1	1	0	1	0	0.6	3	3.7	4	0	0.89	18.78
21.1	1	2	0	1	0	0	4	12.6	7.7	0	55.2	2
21.1	1	2	0	1	0	0.3	2	6	7.7	0	0	26.8
21.1	1	2	0	1	0	0.3	3	6	7.7	0	5.36	47.01
21.5	1	1	0	1	0	0.2	3	6	7.3	0	5.49	23.79
21.6	1	2	0	1	0	0.1	3	6.1	9	0	4.89	44.47
21.8	1	1	0	1	0	0.2	3	6.6	6.6	0	33.44	3.39
20.3	1	2	0	1	0	0.5	3	6	8	0	21.96	37.62
21.1	1	3	0	1	0	0.3	3	6	7.7	0	5.4	19.63
21.3	1	2	0	1	0	0.2	3	5.8	8.3	0	0.08	32.13
20.0	0	0	0	0	0	10	0	1	16	0	5	71
20.0	0	0	0	1	0	10	0	1	8	0	14	33
20.0	0	0	0	1	0	3	0	0.3	4	0	4	33
20.0	0	0	0	1	0	3	0	0.3	6	0	9	21
20.0	0	0	0	1	0	0.3	3	2.7	4	0	7	27
20.0	0	0	0	1	0	3	3	3	4	0	16	37
20.0	0	0	0	1	2	10	0	1	2	0	1.91	19.06
20.0	0	0	0	1	2	3	2	2.7	2	0	12.39	17.16
20.0	0	0	0	1	2	10	2	1	2	0	18	14
20.0	0	0	1	1	1	0	2	6	1.77	0	23	28
20.0	0	0	1	1	1	0	2	6	0.78	0	31	18
20.0	0	0	1	1	1	6	2	0	1.31	0	13	15
20.0	0	0	1	1	1	0	2	6	2.49	0	28	0
19.3	0	2	0	1	0	3.3	2	6.4	9	0	14.3	28.36
17.3	0	2	1	1	0	10	0	1.1	9	0	31.93	20.73
18.6	0	2	0	1	0	10	1	4.4	9	0	7.63	7.62
18.2	0	3	1	1	0	10	1	5	9	0	8.58	7.39
20.7	0	2	0	1	0	0.5	3	6.2	8.8	0	8.09	30.86
20.9	0	3	0	1	0	0.3	3	5.9	8.7	0	6.20	33.84
29.7	0	2	0	1	0	7.5	2	5	3	0	30.5	21.69
